LAT,LONG,BankCount
40.54,-85.66,23
35.68,-82,5
40.58,-83.12,21
46.55,-87.39,27
44.45,-95.78,15
39.11,-93.2,15
32.53,-94.35,22
42.03,-92.91,20
36.34,-88.85,13
36.68,-79.86,28
40.34,-94.87,8
43.15,-93.19,27
36.73,-88.64,12
38.62,-83.78,12
34.92,-95.76,12
31.24,-90.46,24
35.68,-85.77,16
38.36,-97.66,22
41.64,-80.14,18
44.88,-91.91,21
32.38,-88.71,50
45.18,-89.7,10
39.16,-91.87,9
36.88,-94.87,12
36.61,-83.72,13
33.08,-83.23,11
32.82,-98.07,9
48.23,-101.29,31
43.73,-98.03,15
39.41,-92.43,11
38.3,-107.9,17
34.72,-76.73,29
29.7,-91.19,23
46.72,-116.99,14
47.19,-119.3,23
31.12,-83.68,12
36.33,-92.37,22
43.36,-115.52,6
36.5,-80.61,28
43.59,-84.77,26
33.16,-94.97,7
38.06,-83.94,20
38.31,-88.91,15
40.39,-82.47,20
36.61,-88.31,13
41.41,-91.07,15
35.74,-95.35,20
31.61,-94.65,21
31.54,-91.38,20
31.75,-93.09,18
34.27,-81.61,10
39.92,-85.36,21
40.99,-80.34,23
40.71,-76.11,40
44.66,-124.01,22
35.96,-83.19,6
41.69,-93.04,16
44.31,-94.46,13
31.36,-110.93,12
42.03,-97.41,34
41.13,-100.77,20
39,-85.63,7
36.15,-81.14,19
41.24,-82.61,20
48.28,-122.62,25
44.45,-89.03,29
41.42,-79.7,13
27.24,-80.82,10
42.08,-78.43,28
42.45,-75.06,28
44.08,-117.01,20
30.52,-92.08,36
33.49,-80.86,23
41.29,-92.63,9
46.8,-119.15,7
38.6,-95.26,13
37.96,-81.82,66
41.01,-92.41,15
44.08,-93.22,17
42.99,-84.17,21
34.35,-89.52,24
36.31,-78.58,13
31.43,-85.64,13
37.07,-88.63,43
36.08,-115.92,9
29.64,-81.65,11
31.75,-95.64,12
35.54,-100.96,5
36.05,-90.51,19
36.3,-88.3,16
33.66,-95.54,14
37.33,-95.26,15
34.25,-111.28,11
31.4,-103.5,1
40.75,-86.06,10
30.52,-89.67,16
44.37,-100.32,13
30.18,-95.7,45
37.41,-94.69,24
34.19,-101.72,12
42.73,-90.47,37
44.69,-73.45,26
41.34,-86.31,15
38.85,-82.13,22
36.72,-97.06,18
40.87,-88.64,23
36.76,-90.4,20
34.18,-103.34,6
48.02,-123.82,19
41.5,-82.93,21
28.61,-96.62,9
38.75,-82.95,19
40.67,-76.2,59
39.57,-110.8,6
44.1,-120.66,5
46.73,-117.17,25
39.93,-91.38,41
26.47,-97.78,3
40.13,-122.43,15
44.58,-92.6,22
43.81,-111.78,12
39.82,-84.88,29
44.4,-73,47
26.37,-98.82,12
43.03,-108.41,15
36.45,-77.65,22
41.91,-89.06,17
34.93,-79.76,15
41.59,-109.22,11
37.94,-91.76,18
43.24,-123.48,29
33.33,-104.52,18
35.27,-93.14,41
32.53,-92.63,18
43.6,-72.97,17
32.77,-109.71,3
18.34,-64.93,11
40.9,-80.85,36
38.81,-97.61,30
48.34,-116.45,12
41.45,-82.71,24
35.36,-79.13,22
46.48,-84.36,14
41.97,-76.51,30
41.86,-103.66,22
34.64,-86.04,19
35.24,-91.73,40
38.7,-93.23,17
40.8,-76.86,25
32.41,-87.03,10
34.68,-82.95,18
42.91,-76.79,9
35.89,-83.57,55
38.95,-85.88,24
44.77,-88.58,16
35.33,-96.91,17
35.28,-81.54,26
35.49,-86.44,7
47.23,-123.2,9
44.79,-106.95,9
34.25,-110.02,18
40.28,-84.16,18
36.88,-89.58,16
32.78,-108.26,6
32.71,-100.91,4
37.08,-84.6,32
40,-79.07,31
37.98,-120.39,22
44.48,-103.84,11
43.14,-95.15,11
43.42,-95.11,17
33.45,-88.82,20
32.44,-81.77,17
40.47,-106.82,15
32.21,-98.21,11
40.62,-103.19,7
41.79,-89.69,20
44.52,-89.56,24
36.13,-97.07,27
42.64,-95.19,15
41.8,-85.42,23
33.14,-95.61,11
34.47,-85.34,7
45.38,-89.19,17
40.86,-76.78,34
40.57,-120.61,5
32.46,-100.4,3
35.91,-94.97,11
33.43,-86.09,16
36.38,-105.57,11
39.52,-89.26,19
45.54,-121.15,8
32.89,-84.32,9
30.83,-83.97,12
41.11,-83.17,20
31.46,-83.51,16
34.57,-83.32,5
41.77,-73.06,43
44.75,-85.6,46
31.8,-85.96,12
39.3,-120.31,29
35.37,-86.2,30
34.26,-88.73,62
42.56,-114.46,31
39.12,-123.28,22
36.42,-89.05,22
40.1,-83.75,14
29.21,-99.78,6
32.8,-85.17,8
40.86,-84.58,8
42.78,-96.92,6
40.45,-109.53,4
34.14,-99.3,2
32.32,-90.87,20
32.21,-82.4,13
38.67,-87.51,19
41.45,-70.6,9
40.79,-85.82,10
46.26,-96.6,15
40.57,-84.19,17
41.84,-79.18,8
38.75,-93.72,20
41.23,-85.85,39
38.65,-87.17,11
35.55,-77.05,21
39.53,-83.43,10
44.91,-97.16,13
43.19,-88.72,30
27.54,-81.8,5
31.21,-82.35,12
35.53,-98.68,14
36.74,-91.86,17
42.83,-88.73,39
48.16,-103.63,9
45.12,-95.04,20
39.44,-83.83,14
35.73,-77.92,32
40.96,-117.72,5
44.04,-91.65,16
44.39,-89.83,27
36.42,-99.4,10
40.81,-81.93,42
43.62,-95.59,13
42.87,-97.39,10
39.95,-82.01,35
26.89,-99.26,2
