avgIncome,LatM,LongM,LATB,LONGB,BankCount
376058,33.609779,-86.65507,42.14,-77.05,27
2574506,33.409582,-86.69684,32.08,-96.46,16
994196,33.437667,-86.74586,42.6,-76.18,15
1261126,33.356981,-86.81577,40.26,-81.84,9
293607,33.193818,-87.56843,40.52,-107.55,4
275481,33.217168,-87.49461,40.04,-86.89,19
747364,33.149246,-87.52303,41.75,-124.2,5
659269,33.271585,-87.50611,35.95,-85.03,18
16676,32.871514,-87.73326,34.17,-86.83,29
64000,33.095505,-88.18653,35.31,-83.17,10
18026,32.772835,-88.0321,37.64,-84.77,25
69905,33.276411,-87.3052,36.58,-79.39,42
31741,33.207547,-87.75054,35.49,-85.01,9
46680,33.254197,-88.16866,40.83,-84.92,12
71706,33.249332,-87.67217,41.28,-84.36,14
199722,33.170357,-87.39889,29.37,-100.89,9
69734,33.068806,-87.43974,32.26,-107.75,3
8788,33.274081,-87.80211,30.77,-93.24,10
10212,32.80728,-88.31069,46.88,-102.78,19
6006,32.716468,-88.15261,41.84,-89.47,15
29160,33.421827,-88.22013,37.75,-100.01,16
62230,32.931143,-87.93837,31.5,-82.85,15
32878,33.081289,-87.68988,32.53,-82.92,22
4952,32.811241,-88.1648,38.45,-86.8,26
107742,33.299935,-87.88368,35.86,-101.96,7
6290,33.012557,-87.79793,34.52,-97.96,20
71401,32.558949,-88.12485,35.31,-78.61,28
333190,33.260567,-87.58945,37.14,-107.88,20
111084,32.962981,-87.61717,33.98,-96.39,17
435186,33.388654,-87.57913,36.03,-89.38,16
127319,33.227736,-87.58819,28.7,-100.49,11
29087,33.102981,-87.83382,38.77,-76.07,27
50604,33.399471,-88.02086,39.65,-106.6,34
77911,33.197284,-87.25156,39.11,-88.55,18
157184,33.828412,-87.27632,29.19,-96.27,17
139958,33.907546,-87.29957,33.1,-92.49,23
280773,33.883566,-87.2125,36.29,-76.22,20
31942,34.223057,-87.17232,35.4,-99.41,13
61082,34.059527,-87.18344,38.92,-79.85,10
16348,33.703682,-87.67155,40.74,-115.88,11
11917,34.247898,-87.72171,46.97,-120.47,13
8431,33.939291,-88.01367,38.41,-96.19,12
54989,33.628719,-87.58251,36.4,-97.86,22
20963,34.043457,-87.7594,31.32,-85.84,15
49037,33.87798,-87.52728,45.74,-87.08,13
76635,33.754767,-87.16587,36,-106.06,8
12483,34.061266,-88.15462,44,-88.84,30
60561,34.146713,-87.39317,41.25,-110.96,8
17421,33.903299,-87.65194,41,-91.96,9
144677,33.681768,-87.83026,39.48,-80.14,17
62799,33.972007,-87.90302,39.48,-118.78,5
27658,34.262751,-87.83441,44.29,-93.27,16
174958,34.225425,-87.6118,37.78,-90.42,25
146723,34.149717,-88.00384,46.28,-96.06,27
12265,34.341907,-87.94612,39.66,-119.06,7
15087,34.16678,-87.26526,41.04,-83.64,25
22540,33.586897,-87.97695,31.7,-83.25,5
15108,34.049426,-87.57065,35.33,-81.86,19
52078,33.581135,-88.10835,35.01,-90.78,13
69174,33.97173,-87.45746,42.5,-94.17,17
45319,33.673236,-87.37169,37.7,-92.15,19
63169,33.701484,-87.27103,40.61,-91.35,46
68944,34.343017,-87.71277,40.26,-103.79,10
84571,34.448328,-88.12041,42.93,-74.62,11
24209,34.428048,-87.80695,40.28,-86.51,12
57070,33.864591,-88.13117,38.19,-84.86,28
13448,33.807412,-87.446,30.27,-98.87,10
65933,33.752857,-88.0996,42.29,-89.63,21
24912,34.369264,-88.06745,41.44,-96.49,23
123352,33.925454,-87.78949,41.35,-83.11,25
599403,34.595332,-86.98786,35.07,-81.65,7
821489,34.539072,-86.95732,33.63,-97.15,10
30327,34.944113,-87.24921,40.95,-90.37,21
431871,34.784028,-87.02767,35.52,-108.73,8
537672,34.808165,-86.89623,37.97,-100.86,15
119495,34.860179,-87.06231,40.04,-77.18,12
58430,34.748498,-87.9986,33.36,-79.29,29
31398,34.665033,-87.30978,44.28,-105.51,10
85286,34.404908,-87.12915,36.99,-85.92,28
155619,34.930354,-86.9809,39.54,-107.33,51
48598,34.334972,-86.71847,43.05,-74.34,13
99678,34.340484,-86.89176,35.15,-107.83,3
509852,34.817537,-87.66253,38.36,-98.8,21
397591,34.898897,-87.77379,36.16,-82.81,22
275805,34.888897,-87.60731,41.72,-74.52,9
510081,34.442184,-86.94027,39.34,-85.48,7
46308,34.648768,-87.20394,33.38,-91.05,25
311786,34.904208,-87.50776,40.1,-84.62,22
73981,34.660322,-87.53577,33.51,-90.19,20
18112,34.967939,-87.11732,34.19,-82.15,29
65855,34.966009,-87.38262,33.77,-89.81,9
227653,34.496476,-87.27802,36.68,-101.48,7
18167,34.476048,-87.48875,43.57,-114.21,21
152002,34.843309,-87.29937,39.7,-91.38,19
201115,34.519453,-87.78077,36.24,-93.11,19
115072,34.516472,-87.65265,40.58,-98.39,14
144932,34.759738,-87.69317,38.87,-99.31,15
383968,34.759947,-87.62705,32.73,-115.47,9
146251,34.481885,-86.7525,46.6,-112.03,29
43168,34.67373,-86.94986,36.54,-98.27,10
103416,34.64248,-87.41166,36.37,-78.37,10
153011,34.581591,-87.11884,34.82,-102.39,6
327632,34.70017,-87.7142,45.85,-119.21,32
28143,34.950648,-88.02603,41.92,-84.63,10
89063,34.972309,-86.81352,19.69,-155.08,30
53188,34.943871,-85.73077,32.73,-103.16,18
131088,34.720813,-86.48932,42.77,-86.1,28
34050,34.610055,-85.91553,45.61,-121.58,7
3680,34.929269,-86.20726,47.11,-88.56,19
12535,34.830058,-85.97048,42.25,-73.78,19
105935,34.500216,-86.27889,40.49,-78.01,18
167602,34.710942,-86.38995,40.88,-85.5,15
614254,34.815817,-86.76003,30.71,-95.54,14
257944,34.948321,-86.58988,44.36,-98.21,7
35030,34.745259,-85.94729,38.06,-97.91,25
108018,34.520438,-86.61977,44.88,-94.37,16
10057,34.501178,-86.11516,40.62,-79.15,33
334088,34.630103,-86.80159,33.44,-90.64,14
431000,34.776638,-86.75164,42.98,-85.05,22
1583495,34.715065,-86.73964,45.82,-88.06,19
207003,34.863236,-86.56137,39.04,-82.62,12
92639,34.541285,-86.39852,43.47,-110.76,22
261522,34.902137,-86.44272,39.72,-90.23,23
650074,34.624533,-86.47069,31.96,-95.26,14
8708,34.694662,-86.31816,46.91,-98.69,7
50552,34.695645,-85.80484,37.22,-76.76,41
190551,34.712327,-86.08387,38.39,-86.93,28
230641,34.606124,-86.06464,34.13,-83.59,14
50911,34.546397,-85.98279,31.59,-81.88,7
72277,34.877531,-85.84528,39.02,-96.84,14
254067,34.90267,-86.71367,58.43,-135.38,12
11142,34.550375,-86.70576,48.19,-114.31,37
55706,34.664895,-86.23363,22.09,-159.35,16
1005500,34.72879,-86.57316,40.7,-99.08,28
846941,34.666041,-86.55929,42.95,-72.29,15
866212,34.603017,-86.54293,41.44,-85.25,15
246803,34.711291,-86.61691,36.24,-90.04,10
618863,34.748066,-86.68317,30.04,-99.13,18
30436,34.623075,-86.6647,55.34,-131.64,7
554111,34.77624,-86.61339,24.55,-81.78,47
647688,34.78108,-86.53163,36.01,-75.66,36
160808,34.73969,-86.62464,27.5,-97.86,9
210491,34.654126,-86.73987,35.27,-77.59,17
382523,34.016747,-85.99282,40.19,-92.57,13
258574,33.996698,-85.92496,42.16,-121.68,13
187006,34.032097,-86.0353,43.56,-71.48,8
120648,33.942031,-85.93993,45.32,-118.2,12
215489,33.943964,-86.06154,33.03,-84.98,21
212416,33.906415,-86.02665,30.19,-82.64,12
330821,34.261878,-86.22835,32.73,-101.95,3
169513,34.313014,-86.19282,41.31,-105.58,8
98068,34.057496,-86.32225,35.59,-105.22,9
